iter	Logloss
197	0.3758360188
198	0.375374869
199	0.3752338538
200	0.3750116584
201	0.3747448439
202	0.3743866481
203	0.3740353531
204	0.373511668
205	0.3732645271
206	0.3728712275
207	0.3728326948
208	0.3725716666
209	0.3723283403
210	0.3721443776
211	0.3719720305
212	0.3718777774
213	0.3715200531
214	0.3711567568
215	0.3707879742
216	0.3705106585
217	0.3702155981
218	0.3700210057
219	0.3698534162
220	0.3696981709
221	0.3692734536
222	0.3690221122
223	0.3686706029
224	0.3683786285
225	0.3681962088
226	0.3677662624
227	0.3676404632
228	0.3674243113
229	0.3670211106
230	0.3669308437
231	0.3668996404
232	0.3666454272
233	0.3664204458
234	0.3662866314
235	0.3659948285
236	0.3656209024
237	0.3654556274
238	0.3650069076
239	0.3649154835
240	0.3646265094
241	0.3643962989
242	0.3641903481
243	0.3641601734
244	0.3641431144
245	0.363914404
246	0.3636780642
247	0.3634177219
248	0.3630377952
249	0.3625955046
250	0.3625437704
251	0.3622697123
252	0.3620973223
253	0.3618142203
254	0.3615609073
255	0.3613943464
256	0.3609418548
257	0.3606529236
258	0.360293099
259	0.359940561
260	0.3596086824
261	0.359394845
262	0.3591645916
263	0.3589398459
264	0.358677339
265	0.3584543721
266	0.358140924
267	0.3578080167
268	0.3575290508
269	0.3573139919
270	0.3569055407
271	0.3567264857
272	0.356426239
273	0.3562644358
274	0.3560893884
275	0.3557660178
276	0.3555626601
277	0.3553612741
278	0.3551744397
279	0.3548352531
280	0.3546652205
281	0.3546261091
282	0.3543876905
283	0.3542947876
284	0.3541620876
285	0.3539478002
286	0.3537958552
287	0.3536128998
288	0.3534461889
289	0.3533628014
290	0.3532554541
291	0.3531208253
292	0.3529273472
293	0.3525822886
294	0.3524498243
295	0.3521541638
296	0.351898472
297	0.3516799841
298	0.3514620963
299	0.351209319
300	0.3510540309
301	0.3509733222
302	0.3508075757
303	0.3505251167
304	0.3503701071
305	0.3502441149
306	0.3500514513
307	0.3498330277
308	0.3497485043
309	0.3496726818
310	0.3494489434
311	0.3492570727
312	0.3491092853
313	0.3489457891
314	0.3488429637
315	0.3486472998
316	0.3484421634
317	0.3482386557
318	0.3481334301
319	0.3478849175
320	0.3478084521
321	0.3475748341
322	0.347427111
323	0.3472929965
324	0.347167283
325	0.3468828523
326	0.3468305609
327	0.3466361828
328	0.3465454444
329	0.3464425119
330	0.3461148123
331	0.3459280636
332	0.345813344
333	0.3457601312
334	0.3457097686
335	0.3456745791
336	0.3455267917
337	0.3453573163
338	0.3451946559
339	0.344927327
340	0.3446855867
341	0.3445905193
342	0.3445296341
343	0.3443876974
344	0.344238217
345	0.344059762
346	0.3439547935
347	0.3437743669
348	0.3436055344
349	0.3435409632
350	0.343409399
351	0.3433048163
352	0.3430942578
353	0.3430314225
354	0.3428322867
355	0.3427496921
356	0.3426050336
357	0.3425191815
358	0.3424635041
359	0.3422344508
360	0.3420769766
361	0.3419219671
362	0.3418608248
363	0.3416922494
364	0.3415572563
365	0.3414454514
366	0.3411029001
367	0.3409017284
368	0.3407376322
369	0.3405655207
370	0.3404967919
371	0.3403332742
372	0.3400554014
373	0.3399682206
374	0.3398800539
375	0.3397755141
376	0.3397158505
377	0.3395895797
378	0.3393305446
379	0.3391854576
380	0.3390930904
381	0.3389791853
382	0.3388377843
383	0.3386372341
384	0.3385511463
385	0.3383744486
386	0.3383147422
387	0.3381686264
388	0.3381321725
389	0.3379847066
390	0.337947524
391	0.3377108627
392	0.3375302433
393	0.3372179096
394	0.3371090192
395	0.3370183023
396	0.3368307821
397	0.3366543202
398	0.3365265278
399	0.3364221809
400	0.3363089401
401	0.336145251
402	0.3359460724
403	0.3358933524
404	0.335643254
405	0.3356186513
406	0.3354494331
407	0.3353555658
408	0.3351913409
409	0.3349589659
410	0.3348914586
411	0.3348310235
412	0.3347445284
413	0.3346570047
414	0.3346462035
415	0.3345067742
416	0.3343801391
417	0.3342519181
418	0.3340006196
419	0.3339316336
420	0.3337944331
421	0.3336305083
422	0.3334238717
423	0.3334106702
424	0.3333156028
425	0.333003012
426	0.3328310077
427	0.3327202315
428	0.3326455877
429	0.3325883244
430	0.3325693795
431	0.3324591819
432	0.332284113
433	0.3319756154
434	0.331956199
435	0.3318387149
436	0.3317503983
437	0.3315524412
438	0.3313689714
439	0.3311239093
440	0.330965535
441	0.3309156225
442	0.330770514
443	0.3305890587
444	0.330476568
445	0.3303802147
446	0.3302824899
447	0.3302465717
448	0.3301976236
449	0.3300362062
450	0.3299689132
451	0.3296584654
452	0.3294579367
453	0.329425576
454	0.3293504608
455	0.3292601939
456	0.3291703771
457	0.3290269402
458	0.3289516963
459	0.3288002871
460	0.3286135384
461	0.3284700372
462	0.3283636972
463	0.3282311686
464	0.3281262216
465	0.3280633648
466	0.3279375869
467	0.3277974075
468	0.3277641039
469	0.3275874277
470	0.3275364222
471	0.3274741869
472	0.327429525
473	0.3274168165
474	0.3272981751
475	0.3272952391
476	0.327136179
477	0.3270619853
478	0.3269072543
479	0.3266750721
480	0.3265555307
481	0.3261964348
482	0.326023809
483	0.3260239162
484	0.3258494259
485	0.3257757037
486	0.3255787967
487	0.3255277698
488	0.3254738711
489	0.3253645308
490	0.3253233406
491	0.3252082353
492	0.3251563512
493	0.3247707238
494	0.3246427172
495	0.3244458531
496	0.3244363163
497	0.3242287582
498	0.3240808637
499	0.3239920113
500	0.3239865249
501	0.3239862249
502	0.323950864
503	0.3237519211
504	0.3237408413
505	0.3235951113
506	0.3234852994
507	0.3233725944
508	0.3233157812
509	0.3232503098
510	0.3231657221
511	0.3231401979
512	0.3229563852
513	0.3228846132
514	0.3228213278
515	0.3227585996
516	0.3227077227
517	0.3226255567
518	0.3225687863
519	0.3225057152
520	0.3224642679
521	0.3223752654
522	0.3222596244
523	0.322248866
524	0.3221074222
525	0.3218593169
526	0.3216713466
527	0.3214697677
528	0.3213743574
529	0.3212136472
530	0.3210010957
531	0.3208864191
532	0.3207247873
533	0.3205837721
534	0.3205483469
535	0.3204272838
536	0.3202621374
537	0.3200800392
538	0.3200084386
539	0.3198519503
540	0.3196665732
541	0.3195945654
542	0.3194961976
543	0.3193322514
544	0.3192141887
545	0.3191256791
546	0.3189800134
547	0.3188643509
548	0.3187244072
549	0.3186874818
550	0.3185662902
551	0.3185055336
552	0.3184461701
553	0.3183554746
554	0.3182672651
555	0.3181729263
556	0.3180399477
557	0.318037976
558	0.3179586818
559	0.3179330719
560	0.31772995
561	0.3175620818
562	0.3174369683
563	0.3172156945
564	0.3171286208
565	0.317001257
566	0.3169472941
567	0.3167918559
568	0.3166599488
569	0.3165717393
570	0.3164194086
571	0.3162862799
572	0.3162652776
573	0.3160626272
574	0.3159361207
575	0.3158793074
576	0.3158495185
577	0.3158389531
578	0.3157183186
579	0.3156383386
580	0.3154881938
581	0.3153393563
582	0.3151755172
583	0.3150055917
584	0.3149925832
585	0.3148145783
586	0.3147784244
587	0.3147212682
588	0.3147208396
589	0.3147109814
590	0.3146595473
591	0.3146320086
592	0.3145910113
593	0.3144817781
594	0.31426134
595	0.3139992617
596	0.3139646294
597	0.3139611148
598	0.3137474489
599	0.3136632255
600	0.3134943501
601	0.3132901781
602	0.3132200348
603	0.3130950285
604	0.3130680041
605	0.3129866525
606	0.3129170236
607	0.3128478875
608	0.312752563
609	0.3126864058
610	0.312622799
611	0.3125482195
612	0.3124238775
613	0.3123865663
614	0.3123541414
615	0.3122949707
616	0.3122767116
617	0.312196903
618	0.3119439757
619	0.3118142975
620	0.3115030139
621	0.3114097467
622	0.3113288879
623	0.3112589375
624	0.3109468181
625	0.3109226441
626	0.3108072602
627	0.3107250085
628	0.3106451142
629	0.3105952874
630	0.3105177076
631	0.3104501789
632	0.3102934762
633	0.3102622729
634	0.3101787567
635	0.309992158
636	0.3099429098
637	0.3099039485
638	0.3096684874
639	0.3096095096
640	0.3095131563
641	0.3094265113
642	0.3093526176
643	0.3091996439
644	0.3090885248
645	0.3090367264
646	0.308870937
647	0.3087811631
648	0.3086627574
649	0.3086558996
650	0.3086470057
651	0.3085745051
652	0.3084782375
653	0.3083984932
654	0.3082860025
655	0.3081939783
656	0.3080679647
657	0.3079234777
658	0.3078426833
659	0.3076607351
660	0.3076490767
661	0.3075531092
662	0.3075162909
663	0.3075053611
664	0.3072121438
665	0.3070586558
666	0.3069439577
667	0.3067550659
668	0.3067165761
669	0.3066145222
670	0.3064621486
671	0.3063217763
672	0.3061731746
673	0.3061214618
674	0.3060889941
675	0.3060806789
676	0.3059331487
677	0.3058626839
678	0.3057740887
679	0.305491201
680	0.3053950192
681	0.3052893864
682	0.305218493
683	0.3051676161
684	0.3050980943
685	0.3050120493
686	0.3049184392
687	0.3048667479
688	0.3047211251
689	0.3046338799
690	0.304545499
691	0.3044034122
692	0.3043339333
693	0.3041952755
694	0.3041759234
695	0.3041120379
696	0.3040702477
697	0.3039093875
698	0.3038100553
699	0.3037108518
700	0.3035579424
701	0.303524446
702	0.3034110123
703	0.30332321
704	0.3031435977
705	0.3029979534
706	0.3029755367
707	0.3028566382
708	0.3027811586
709	0.3027009428
710	0.3025538412
711	0.3024298207
712	0.3023941812
713	0.3023107293
714	0.302309572
715	0.3021466545
716	0.3020270273
717	0.3018793685
718	0.3018343422
719	0.3016650168
720	0.3015290164
721	0.3013968521
722	0.3013828792
723	0.3012532438
724	0.3012180971
725	0.3011710135
726	0.3010750674
727	0.3010672451
728	0.3010076887
729	0.3009100925
730	0.3008696953
731	0.3008220973
732	0.3007046989
733	0.3006627801
734	0.3006173037
735	0.3003694127
736	0.3001192929
737	0.3000807173
738	0.3000717806
739	0.2999664264
740	0.2997659833
741	0.2996584217
742	0.2995207283
743	0.2993841707
744	0.2992882461
745	0.299116799
746	0.2989684116
747	0.2988830095
748	0.2987743335
749	0.2987086907
750	0.2986376259
751	0.2985881848
752	0.2984303249
753	0.2983166341
754	0.2982384757
755	0.2980388684
756	0.2979004035
757	0.2977734255
758	0.2976215234
759	0.2974530338
760	0.2973733966
761	0.2972340745
762	0.2971202122
763	0.2970306739
764	0.296800892
765	0.2967921696
766	0.2967123396
767	0.296538578
768	0.2964877011
769	0.2964184365
770	0.2962060778
771	0.2960794427
772	0.2960543686
773	0.2959097959
774	0.295887572
775	0.2957682663
776	0.2956465389
777	0.2955932403
778	0.2954848
779	0.2954648907
780	0.2953179606
781	0.2952531107
782	0.2951273757
783	0.2951153959
784	0.2949468848
785	0.2949305331
786	0.2947618292
787	0.2947509423
788	0.2946160349
789	0.2945366334
790	0.2944853922
791	0.2943861029
792	0.2942846062
793	0.2941874815
794	0.2941753945
795	0.2940388369
796	0.2940231495
797	0.2939317682
798	0.2938319431
799	0.293808712
800	0.2937979109
801	0.2936400296
802	0.293563607
803	0.293480048
804	0.2933855378
805	0.2932516162
806	0.2929149585
807	0.2926228984
808	0.2925395537
809	0.292487991
810	0.2921867799
811	0.2920305916
812	0.2918954699
813	0.2918609448
814	0.2917896657
815	0.2916500434
816	0.2915350239
817	0.2915124143
818	0.2913200293
819	0.2911246653
820	0.2909880863
821	0.2909081277
822	0.2907900864
823	0.2907454244
824	0.2905299369
825	0.2904478352
826	0.2903771133
827	0.2903071843
828	0.2902007799
829	0.2901323297
830	0.2901210999
831	0.2899192639
832	0.2897288505
833	0.2896695083
834	0.289448213
835	0.2893616966
836	0.2892597499
837	0.2889438372
838	0.2888499271
839	0.2888386759
840	0.2887996931
841	0.2885008394
842	0.2883023037
843	0.2881610742
844	0.288019116
845	0.2877590737
846	0.2876602987
847	0.2874681709
848	0.2873304989
849	0.2872230444
850	0.2871009098
851	0.2869650166
852	0.2868268945
853	0.2867262765
854	0.2867169541
855	0.2866331808
856	0.2866077209
857	0.2863202899
858	0.2862014342
859	0.2861659875
860	0.2861114245
861	0.2859441564
862	0.2858357376
863	0.2856892789
864	0.2855983477
865	0.2854781419
866	0.2854039267
867	0.285372359
868	0.2852626329
869	0.2852236716
870	0.2851573644
871	0.2851219606
872	0.2850507458
873	0.2849694584
874	0.2848284003
875	0.2847549138
876	0.2846522813
877	0.2844582461
878	0.2843095158
879	0.2841778016
880	0.2841558135
881	0.2840054116
882	0.2839618211
883	0.2838975071
884	0.2837676145
885	0.2837428832
886	0.2837005358
887	0.2835877236
888	0.2835190591
889	0.2835066292
890	0.2834038467
891	0.2832259918
892	0.2831549269
893	0.2830145975
894	0.2828755539
895	0.2826520513
896	0.2825881872
897	0.2824757394
898	0.2823005205
899	0.2821163863
900	0.2819757783
901	0.2818909977
902	0.2817669986
903	0.28160721
904	0.2814539577
905	0.281376185
906	0.2813026985
907	0.2811726131
908	0.2809680767
909	0.2807657049
910	0.2806666942
911	0.2806216465
912	0.2804640009
913	0.2804432558
914	0.2803639187
915	0.2800235963
916	0.2799500455
917	0.2799361154
918	0.2798659507
919	0.2797416087
920	0.2795716618
921	0.2794905673
922	0.279388042
923	0.2793599461
924	0.2792729367
925	0.2792150947
926	0.2790158733
927	0.2789436083
928	0.2788583563
929	0.2787799621
930	0.2786961673
931	0.2786426973
932	0.2786111725
933	0.2785529233
934	0.2785368716
935	0.2785085185
936	0.2785023893
937	0.2784166658
938	0.278282487
939	0.2782081004
940	0.2781459937
941	0.2780711999
942	0.2779763468
943	0.2777246197
944	0.2776029351
945	0.277490873
946	0.2774582766
947	0.2774038422
948	0.2773779966
949	0.2772263302
950	0.2771363205
951	0.2769955196
952	0.276939435
953	0.2768303946
954	0.2767391848
955	0.2766512324
956	0.2765513859
957	0.276439131
958	0.2763516501
959	0.2762876789
960	0.2762401881
961	0.2759485138
962	0.2758876929
963	0.2758466528
964	0.2756291936
965	0.2755686299
966	0.2754763914
967	0.2753973329
968	0.275268469
969	0.2751751375
970	0.2751254392
971	0.2750633754
972	0.2750390728
973	0.2749436411
974	0.2748175632
975	0.2747327612
976	0.2746164129
977	0.2745392617
978	0.2744113193
979	0.2742271423
980	0.2741742295
981	0.2741157232
982	0.2740864272
983	0.273996546
984	0.2739105225
985	0.2738497016
986	0.2738018036
987	0.273752534
988	0.2736957421
989	0.2736335926
990	0.2735116509
991	0.2734497585
992	0.2733584415
993	0.2733054858
994	0.2732363926
995	0.2729711854
996	0.2728547086
997	0.2728117396
998	0.2726681956
999	0.2726026599
